capturedDate,impressions,clicks,impressions_cumul,clicks_cumul,channel_name,region
2018-09-20,497.0,0.0,158604.0,142.0,Display,Jakarta Raya
2018-09-20,1.0,0.0,158605.0,142.0,Display,Jakarta Raya
2018-09-20,0.0,0.0,158605.0,142.0,Display,Jakarta Raya
2018-09-20,1.0,0.0,158606.0,142.0,Display,Jakarta Raya
2018-09-20,0.0,0.0,158606.0,142.0,Display,Jakarta Raya
2018-09-20,1.0,0.0,158607.0,142.0,Display,Jakarta Raya
2018-09-20,28.0,0.0,158635.0,142.0,Display,Jakarta Raya
2018-09-20,55.0,0.0,158690.0,142.0,Display,Jakarta Raya
2018-09-20,176.0,0.0,158866.0,142.0,Display,Jakarta Raya
2018-09-20,3.0,0.0,158869.0,142.0,Display,Jakarta Raya
2018-09-20,3.0,0.0,158872.0,142.0,Display,Jakarta Raya
2018-09-20,1162.0,1.0,160034.0,143.0,Display,Jakarta Raya
2018-09-20,3.0,0.0,160037.0,143.0,Display,Jakarta Raya
2018-09-20,17.0,0.0,160054.0,143.0,Display,Jakarta Raya
2018-09-20,12.0,0.0,160066.0,143.0,Display,Jakarta Raya
2018-09-20,8.0,0.0,160074.0,143.0,Display,Jakarta Raya
2018-09-20,1.0,0.0,160075.0,143.0,Display,Jakarta Raya
2018-09-20,384.0,0.0,160459.0,143.0,Display,Jakarta Raya
2018-09-20,1.0,0.0,160460.0,143.0,Display,Jakarta Raya
2018-09-20,4.0,0.0,160464.0,143.0,Display,Jakarta Raya
2018-09-20,4.0,0.0,160468.0,143.0,Display,Jakarta Raya
2018-09-20,273.0,0.0,160741.0,143.0,Display,Jakarta Raya
2018-09-20,60.0,0.0,160801.0,143.0,Display,Jakarta Raya
2018-09-20,0.0,0.0,160801.0,143.0,Display,Jakarta Raya
2018-09-20,29118.0,23.0,189919.0,166.0,Display,Jakarta Raya
2018-09-21,1.0,0.0,189920.0,166.0,Display,Jakarta Raya
2018-09-21,2.0,0.0,189922.0,166.0,Display,Jakarta Raya
2018-09-21,1.0,0.0,189923.0,166.0,Display,Jakarta Raya
2018-09-21,12.0,0.0,189935.0,166.0,Display,Jakarta Raya
2018-09-21,31.0,0.0,189966.0,166.0,Display,Jakarta Raya
2018-09-21,3.0,0.0,189969.0,166.0,Display,Jakarta Raya
2018-09-21,169.0,0.0,190138.0,166.0,Display,Jakarta Raya
2018-09-21,8.0,0.0,190146.0,166.0,Display,Jakarta Raya
2018-09-21,5265.0,0.0,195411.0,166.0,Display,Jakarta Raya
2018-09-21,2.0,0.0,195413.0,166.0,Display,Jakarta Raya
2018-09-21,48.0,0.0,195461.0,166.0,Display,Jakarta Raya
2018-09-21,1.0,0.0,195462.0,166.0,Display,Jakarta Raya
2018-09-21,9.0,0.0,195471.0,166.0,Display,Jakarta Raya
2018-09-21,1.0,0.0,195472.0,166.0,Display,Jakarta Raya
2018-09-21,4.0,0.0,195476.0,166.0,Display,Jakarta Raya
2018-09-22,34.0,0.0,195510.0,166.0,Display,Jakarta Raya
2018-09-22,4.0,0.0,195514.0,166.0,Display,Jakarta Raya
2018-09-22,0.0,0.0,195514.0,166.0,Display,Jakarta Raya
2018-09-22,434.0,0.0,195948.0,166.0,Display,Jakarta Raya
2018-09-22,0.0,0.0,195948.0,166.0,Display,Jakarta Raya
2018-09-22,84.0,0.0,196032.0,166.0,Display,Jakarta Raya
2018-09-22,0.0,0.0,196032.0,166.0,Display,Jakarta Raya
2018-09-22,9.0,0.0,196041.0,166.0,Display,Jakarta Raya
2018-09-22,7.0,0.0,196048.0,166.0,Display,Jakarta Raya
2018-09-22,48.0,0.0,196096.0,166.0,Display,Jakarta Raya
2018-09-22,17.0,0.0,196113.0,166.0,Display,Jakarta Raya
2018-09-22,1171.0,0.0,197284.0,166.0,Display,Jakarta Raya
2018-09-22,1.0,0.0,197285.0,166.0,Display,Jakarta Raya
2018-09-22,1.0,0.0,197286.0,166.0,Display,Jakarta Raya
2018-09-22,9.0,0.0,197295.0,166.0,Display,Jakarta Raya
2018-09-22,3.0,0.0,197298.0,166.0,Display,Jakarta Raya
